Model,Fold,MAE,RMSE,R2
Random Forest,1,4.674822780927159,6.802708945769291,-0.017490535239643945
Random Forest,2,4.994469772720813,8.135235099351647,-0.029682164982739234
Random Forest,3,5.276085780374338,7.908082840882046,-0.05292552581087584
Random Forest,4,5.634877285944416,9.232936065339073,-0.030699801123124315
Random Forest,5,5.100359907805358,8.387267698041759,0.012775517294244532
Hist. GBM,1,4.243306251171088,6.538487999088317,0.06001427148505989
Hist. GBM,2,4.617185585370798,7.857092317677169,0.039523626615200036
Hist. GBM,3,4.941935280331967,7.671109797263826,0.009232774170991775
Hist. GBM,4,5.141604042051563,8.910153958329754,0.04010671777473884
Hist. GBM,5,4.988074363336857,8.318465003260094,0.02890594505166577
