Model,Fold,MAE,RMSE,R2
Random Forest,1,4.793021994513251,6.920309653594403,-0.052974013564589306
Random Forest,2,5.1118714383005015,8.191178655751099,-0.043892484539127974
Random Forest,3,5.361616115495051,8.02942735221817,-0.0854863842904332
Random Forest,4,5.7028868962018375,9.30581031820895,-0.04703434509037718
Random Forest,5,5.245262382532167,8.481134281726268,-0.00944529145003603
Hist. GBM,1,4.371867115096372,6.650227080508354,0.027612095165754025
Hist. GBM,2,4.716961438162047,7.925258897341452,0.02278552572084791
Hist. GBM,3,5.073414268040907,7.795352150450513,-0.023120324329799713
Hist. GBM,4,5.400980118815903,9.072370769346334,0.0048372373894599585
Hist. GBM,5,5.135517133261416,8.414032284083342,0.006464805822660624
